Column1,exercise_name,norm
961,Single Arm Snatch,single arm snatch
206,Double Leg Multi-Directional Pogo,double leg multi directional pogo
1379,Running In Place,running in place
1346,Oblique QL Side Raise,oblique ql side raise
1638,"Incline Treadmill Walk (5–10 Incline, 3.0 Speed)",incline treadmill walk
1253,Single Arm Dumbbell Press,single arm dumbbell press
1285,Alternating Good Morning,alternating good morning
154,cable press around,cable press around
1324,Kneeling Windmill Press,kneeling windmill press
1661,Thoracic Extension Stretch,thoracic extension stretch
898,Snatch Grip Shrugs,snatch grip shrugs
1626,Secondary Hold,secondary hold
1435,Lateral walks  (banded),lateral walks
1518,Zottman Curl In Deep Lunge,zottman curl in deep lunge
1347,Back Extension Crunches,back extension crunches
905,Shiko,shiko
346,Cardio (Zone 2),cardio
666,Elliptical,elliptical
1446,Diamond Pushups,diamond pushups
1691,RP Incline Hammer Strength Press,rp incline hammer strength press
455,Single Arm Pushdown,single arm pushdown
1208,Wood Chop (Resistance Band),wood chop
1303,kettlebell biceps,kettlebell biceps
769,Decline Hammer Strength,decline hammer strength
638,Cast Backward Circle,cast backward circle
871,Wood Chop (High To Low),wood chop
295,Incline Pushdown (Cable),incline pushdown
1505,Rotator Cuff (Seated - Kneesovertoes),rotator cuff
583,Thruster (Barbell),thruster
1272,Leg Circles,leg circles
453,Reverse Lunge To Overhead Press,reverse lunge to overhead press
540,Tip-Toe Walk,tip toe walk
498,Scap Pull Down,scap pull down
1498,Sandbag To Chest,sandbag to chest
681,Tibialis Raise,tibialis raise
1716,Neck Circles,neck circles
611,Planche Progression,planche progression
1473,Couch Stretch with Reachovers,couch stretch with reachovers
1737,Planche Progression Hold,planche progression hold
595,Lateral Med Ball Slam,lateral med ball slam
1647,Side Lying Leg Raises,side lying leg raises
566,Skull Crushers (Smith Machine),skull crushers
1190,Towel Hangs,towel hangs
1672,Butterfly DB,butterfly db
1526,Glute Hyperextension,glute hyperextension
860,Yoke Carry,yoke carry
1485,Lower Ab Leg Raises,lower ab leg raises
976,Single Arm Landline Press,single arm landline press
1434,Cable external rotation - elbow low,cable external rotation elbow low
1627,Titan's Telegraph,titan s telegraph
162,Iron Cross,iron cross
579,Warrior Pushup,warrior pushup
1514,90/90,90 90
1252,Power Jerk,power jerk
370,Single Arm Floor Press,single arm floor press
983,Reverse Sled Pull,reverse sled pull
1157,Barbell American Deadlift,barbell american deadlift
1120,Good Morning Seated,good morning seated
458,Pullover (EZ Bar),pullover
107,Stiff Leg Deficit Deadlift,stiff leg deficit deadlift
999,Clamshells,clamshells
1175,Neck Tilts,neck tilts
1298,Skater Jumps,skater jumps
858,Neck Harness,neck harness
1567,Alternating Sled Drag For Time,alternating sled drag for time
365,C Drill,c drill
1688,Yoga Class,yoga class
1646,Clamshells (Band),clamshells
561,Jog,jog
779,Hight To Low Woodchoppers,hight to low woodchoppers
205,Med Ball Slam,med ball slam
1443,Butt Blaster,butt blaster
1460,Backward Sled,backward sled
998,Lateral Jumps,lateral jumps
469,Deadlift (Deficit),deadlift
524,High Knee Tucks,high knee tucks
1181,Sitting Hamstring Stretch,sitting hamstring stretch
1133,Reverse Dumbbell Fly,reverse dumbbell fly
525,High Knee Run,high knee run
1618,External Rotations,external rotations
1639,Zercher Walks,zercher walks
997,Ball Slam,ball slam
1068,Cable Axe Chop,cable axe chop
1007,Tempo Overheadpress,tempo overheadpress
941,Bike Sprint,bike sprint
534,Single Leg Toe Touch,single leg toe touch
1467,Seated Deadlift,seated deadlift
1499,Sandbag  Press,sandbag press
354,Bounds,bounds
189,Bilateral Snapdown,bilateral snapdown
603,Sled Push Pull,sled push pull
1321,Knee To Feet Jumps,knee to feet jumps
626,Single Leg / Core Accessories,single leg core accessories
366,Partner Agility Drill,partner agility drill
1336,Dumbell Incline Shrugs,dumbell incline shrugs
617,Chest Supported Reverse Fly (Dumbbell),chest supported reverse fly
1652,Cobra Stretch,cobra stretch
1523,Chest Supported Curl,chest supported curl
515,Tricep Kick Back,tricep kick back
539,Heel Walk,heel walk
601,Mace Work,mace work
1449,Rope Pullover,rope pullover
1438,Long rope incline pushdown,long rope incline pushdown
266,Single Arm Pushdown (Cable),single arm pushdown
945,HIIT,hiit
956,Bicep Stretch,bicep stretch
34,Standing Pullover (Cable),standing pullover
699,Cable Angel Progression,cable angel progression
752,Burpee Broad Jumps,burpee broad jumps
1192,Band Extensions,band extensions
251,Farmer's Walk (Weighted),farmer s walk
470,Reaching Situp,reaching situp
476,Glute Med Kickback,glute med kickback
560,Dead Hang,dead hang
1678,Underhand Tricep Pulldown (EZ Bar),underhand tricep pulldown
1093,External Rotations (Cable),external rotations
286,Larsen Press (Barbell),larsen press
694,Captains Of Crush Gripper,captains of crush gripper
1487,One Leg Jack Knife,one leg jack knife
435,Cross-Body Y-Raise (Cable),cross body y raise
1304,tire with hammer,tire with hammer
684,Stir The Pot,stir the pot
527,Butt Kick Run,butt kick run
1092,Trap 3 Raise,trap 3 raise
1263,Downward Dog,downward dog
1290,Plank With Dumbbell Row,plank with dumbbell row
896,Lat Pushdown,lat pushdown
299,Dip (Assisted),dip
625,Pull Accessories,pull accessories
1169,chest expander pull apart,chest expander pull apart
404,Frame Hold,frame hold
662,Deadlift (Dumbbell),deadlift
605,Zercher Good Morning,zercher good morning
1769,"Ring Pull-up (Overhand, Neutral)",ring pull up
1550,Weighted Side Extensions,weighted side extensions
796,Z-Press (Dumbbell),z press
1003,Child'S Pose Strech,child s pose strech
276,Overhead Extension (Dumbbell),overhead extension
259,AD Press (Barbell),ad press
1301,Overhead Extension (Cable),overhead extension
1365,Low-To-High Cable Fly,low to high cable fly
477,Trap Bar Power Shrug,trap bar power shrug
899,Pause Press(Bench),pause press
529,Straight-Leg March,straight leg march
709,Open Stone,open stone
1509,Preacher Machine,preacher machine
1522,Heavy Bag,heavy bag
1307,Ring Pull Up,ring pull up
1002,Hip Flexor Stretch,hip flexor stretch
640,Pullover,pullover
293,Dragon Flag,dragon flag
1640,Dumbell Push Jerk,dumbell push jerk
582,Bear Complex,bear complex
792,Trap Bar Shrug,trap bar shrug
1006,Block Press,block press
952,Lat Pullover Cable,lat pullover cable
1269,Cat-Cow Stretch,cat cow stretch
654,Decline Skull Crushers,decline skull crushers
489,Zone 2ish Cardio For 45 Minutes Or So,zone 2ish cardio for 45 minutes or so
800,Single Arm Diagonal Pulldown (Machine),single arm diagonal pulldown
1063,Wood Chopper,wood chopper
1566,SSB Walk For Time,ssb walk for time
1245,8 Minute Core Routine,8 minute core routine
1631,Bear Position Pull Through,bear position pull through
324,Cable Wood Choppers,cable wood choppers
136,Ring Pull Ups,ring pull ups
900,Placeholder,placeholder
1103,Vertical traction,vertical traction
778,Sled Push/Pull,sled push pull
1755,Push Up Pyramid,push up pyramid
1062,Hip Airplane,hip airplane
711,Light Hammer,light hammer
1267,Tree Pose,tree pose
237,Pullover (Machine),pullover
472,Shoulder YTWL,shoulder ytwl
651,Cable Pronations,cable pronations
1560,Cable Rotation,cable rotation
532,Hamstring Scoops,hamstring scoops
1564,Farmer’s Walk For Time,farmer s walk for time
282,Block Pull (Barbell),block pull
686,Dumbbell RDL,dumbbell rdl
1472,Pull On Ball Exercise,pull on ball exercise
1356,Narrow Neutral Pulldown,narrow neutral pulldown
1162,Suitcase Deadlift,suitcase deadlift
1397,Rope Curl,rope curl
576,Guillotine Press,guillotine press
874,Z Press,z press
1529,Reverse Pushdown,reverse pushdown
1258,Kelso Shrugs,kelso shrugs
795,Rear Foot Elevated Straight Leg Deadlift (Dumbbell),rear foot elevated straight leg deadlift
1644,L-Sit Progression,l sit progression
1727,High To Low Cable Flyes,high to low cable flyes
